T,<E>/N,SE
5.000000000000000000e-01,-1.998350694444444464e+00,1.147235393611205102e-04
5.500000000000000444e-01,-1.996631944444444473e+00,4.987606811670214444e-04
5.999999999999999778e-01,-1.993993055555555394e+00,2.380435625139380555e-04
6.500000000000000222e-01,-1.990451388888888840e+00,5.352931055484068737e-04
6.999999999999999556e-01,-1.984340277777778105e+00,3.546655890287814185e-04
7.500000000000000000e-01,-1.973402777777777839e+00,1.212132172369098258e-03
8.000000000000000444e-01,-1.964027777777777928e+00,1.591929636992734992e-03
8.500000000000000888e-01,-1.946006944444444331e+00,2.185478195593770160e-03
9.000000000000000222e-01,-1.927604166666666785e+00,6.399322197583879853e-04
9.499999999999999556e-01,-1.904565972222222126e+00,3.801237644828179413e-03
1.000000000000000000e+00,-1.875833333333333020e+00,3.534169624999855455e-03
1.050000000000000044e+00,-1.838593750000000027e+00,4.709044709588400962e-03
1.100000000000000089e+00,-1.785121527777777661e+00,6.344474684428007445e-03
1.149999999999999911e+00,-1.709826388888888937e+00,1.547239001421756369e-02
1.200000000000000178e+00,-1.616822916666666554e+00,1.481410159054304641e-02
1.250000000000000000e+00,-1.570260416666666492e+00,8.869489056896254567e-03
1.300000000000000044e+00,-1.513298611111111081e+00,3.722733951142251103e-03
1.350000000000000089e+00,-1.483593749999999822e+00,8.297345856978468465e-03
1.399999999999999911e+00,-1.453211805555555403e+00,3.206671321759029056e-03
1.450000000000000178e+00,-1.430034722222222499e+00,1.308587151993457912e-03
1.500000000000000000e+00,-1.413784722222222401e+00,3.653431236438316795e-03
1.550000000000000044e+00,-1.387135416666666732e+00,2.262968278790666952e-03
1.600000000000000089e+00,-1.371979166666666750e+00,1.423328788627151393e-03
1.650000000000000133e+00,-1.356631944444444793e+00,2.142204470832787238e-03
1.700000000000000178e+00,-1.344704861111111205e+00,4.401957566869979521e-03
1.750000000000000000e+00,-1.332447916666666732e+00,7.781574594102683151e-04
1.800000000000000044e+00,-1.320468749999999858e+00,8.730757611583689305e-04
